PROVINCIA,COMUNE,TIPOLOGIA,STELLE,DENOMINAZIONE,INDIRIZZO,NUMERO CIVICO,CAP
BELLUNO,AGORDO,AGRITURISMO,,CASA BIANCA DI CHIERZI SANTINA,Via Nagol,24,32021
BELLUNO,AGORDO,ALBERGO,2,EDERA,Via Faion,20,32021
BELLUNO,AGORDO,ALBERGO,3,ERICE,Via IV Novembre,13/B,32021
BELLUNO,AGORDO,ALBERGO,1,PENSIONE DUE ANGELI,Via Carrera,4,32021
BELLUNO,AGORDO,ALBERGO,3,VILLA IMPERINA,Via Pragrande,5,32021
BELLUNO,AGORDO,BED AND BREAKFAST,,BED & BREAKFAST SOL FIORI',Via Campo dei Fiori,11,32021
BELLUNO,AGORDO,BED AND BREAKFAST,,EDEN B&B,VIA PRAGRANDE,42,32021
BELLUNO,AGORDO,BED AND BREAKFAST,,MONTAGNA ANTICA,VICOLO SAN PIETRO,2,32021
BELLUNO,AGORDO,BED AND BREAKFAST,,RAFFAELLA,Via IV Novembre,11/C,32021
BELLUNO,AGORDO,BED AND BREAKFAST,,VILLA ROSA,Corso Patrioti,7,32021
BELLUNO,AGORDO,RIFUGIO,,BRUTO CARESTIATO,Località Col dei Pass,,32021
BELLUNO,ALANO DI PIAVE,ALTRA RICETTIVITA',,ASSOCIAZIONE VILLA COLMIRANO,Via Monte Valderoa,1 - Colmirano,32031
BELLUNO,ALANO DI PIAVE,BED AND BREAKFAST,,CASA FRANCESCA,Via Brigata Re,7,32031
BELLUNO,ALANO DI PIAVE,BED AND BREAKFAST,,EZIO'S B&B,Piazza Cav.Licini,2,32031
BELLUNO,ALLEGHE,AFFITTACAMERE,,ANTICA DIMORA,Via Coldai,6,32022
BELLUNO,ALLEGHE,AFFITTACAMERE,,PINIÈ PIETRO,Via Lungolago,16/B,32022
BELLUNO,ALLEGHE,ALBERGO,3,ALLE ALPI,Piazza Kennedy,26,32022
BELLUNO,ALLEGHE,ALBERGO,3,ALLEGHE,Corso Italia,21,32022
BELLUNO,ALLEGHE,ALBERGO,3,ALPENROSE,Via Coldai,85,32022
BELLUNO,ALLEGHE,ALBERGO,3,CENTRALE,Piazza Kennedy,1,32022
BELLUNO,ALLEGHE,ALBERGO,3,CHIARA,Corso Italia,23,32022
BELLUNO,ALLEGHE,ALBERGO,3,COLDAI,Via Coldai,13,32022
BELLUNO,ALLEGHE,ALBERGO,2,ESPERIA,Via Lungo Lago,6/A,32022
BELLUNO,ALLEGHE,ALBERGO,2,LA FURLANINA,Via A. De Gasperi,49,32022
BELLUNO,ALLEGHE,ALBERGO,2,LA NAVA,Corso Italia,43,32022
BELLUNO,ALLEGHE,ALBERGO,4,SPORT HOTEL EUROPA,Via Europa,10,32022
BELLUNO,ALLEGHE,ALBERGO,3,VALGRANDA,Corso Italia,15,32022
BELLUNO,ALLEGHE,APPARTAMENTO,,APPARTAMENTI AL LAGO,Via Monte Pape,1,32022
BELLUNO,ALLEGHE,APPARTAMENTO,,APPARTAMENTI ESPERIA 1 -2,Via Lungolago,2/A,32022
BELLUNO,ALLEGHE,APPARTAMENTO,,APPARTAMENTI REGINA,Corso Venezia,13,32022
BELLUNO,ALLEGHE,APPARTAMENTO,,CASA CIVETTA,Via Lungo Lago,2,32022
BELLUNO,ALLEGHE,APPARTAMENTO,,CASA ROSA,piazza Kennedy,19,32022
BELLUNO,ALLEGHE,APPARTAMENTO,,REGINATO FLORA,Via Coldai,6,32022
BELLUNO,ALLEGHE,BED AND BREAKFAST,,AL MOLIN,VIA DEGLI ALPINI,2,32022
BELLUNO,ALLEGHE,BED AND BREAKFAST,,B & B GIOLAI ELIO,Via De Gasperi,55,32022
BELLUNO,ALLEGHE,FORESTERIA,,"CENTRO TURISTICO GIOVANILE ""LA NUOVA STRADA""",Località Fernazza,,32022
BELLUNO,ALLEGHE,RIFUGIO,,ATTILIO TISSI AL COL REAN,Località Col Rean,,32022
BELLUNO,ALPAGO,AFFITTACAMERE,,ALLA POSTA GUEST HOUSE,Via Sant'Antonio,9 - Garna,32010
BELLUNO,ALPAGO,AFFITTACAMERE,,BELLAVISTA,Via Pianture,22/A,32010
BELLUNO,ALPAGO,AFFITTACAMERE,,CAROTA,Loc. Carota,9,32010
BELLUNO,ALPAGO,AFFITTACAMERE,,LOCANDA AL CALICE,Via P.F. Calvi,6,32016
BELLUNO,ALPAGO,AFFITTACAMERE,,LOCANDA CAPRIOLO,Via Pian Osteria,5,32010
BELLUNO,ALPAGO,AGRITURISMO,,MALGA MEZZOMIGLIO,LOC. MEZZOMIGLIO,,32010
BELLUNO,ALPAGO,ALBERGO,1,ALLA SPIAGGIA,Viale al Lago,,32010
BELLUNO,ALPAGO,ALBERGO,1,BORTOLUZZI,Via Matteotti,1,32010
BELLUNO,ALPAGO,ALBERGO,1,DA BEIO,Viale Alpago,150/152,32015
BELLUNO,ALPAGO,ALBERGO,3,LOCANDA SAN LORENZO,Via IV Novembre,79,32015
BELLUNO,ALPAGO,ALBERGO,1,MEUBLE' DA GUERRINO,Via Trieste,13,32010
BELLUNO,ALPAGO,BED AND BREAKFAST,,AI SBARAI,Via Matteotti,89/6A,32016
BELLUNO,ALPAGO,BED AND BREAKFAST,,AL GINKGO,via S.Lucia,33,32010
BELLUNO,ALPAGO,BED AND BREAKFAST,,AL LAGO,Viale Europa,8/b,32016
BELLUNO,ALPAGO,BED AND BREAKFAST,,B&B IL MAGGIOLINO,via Montecavallo,98,32015
BELLUNO,ALPAGO,BED AND BREAKFAST,,CASA DA MENO,via Grave Fornaci,4,32015
BELLUNO,ALPAGO,BED AND BREAKFAST,,LA CASA DEI LEN,Via G. de Felip - fraz. Torres,40,32010
BELLUNO,ALPAGO,BED AND BREAKFAST,,SOLE & LUNA,Viale al Lago,11,32016
BELLUNO,ALPAGO,CAMPEGGIO,2,SARATHEI,Viale al Lago,13,32016
BELLUNO,ALPAGO,RIFUGIO,,CASA VALLORCH,via dei Cimbri,6,32016
BELLUNO,ALPAGO,RIFUGIO,,DOLOMIEU AL DOLADA,Località Pian de Guera,,32010
BELLUNO,LIVINALLONGO DEL COL DI LANA,AFFITTACAMERE,,EDELWEISS,Via Andraz,45,32020
BELLUNO,LIVINALLONGO DEL COL DI LANA,ALBERGO,2,LA BAITA,Località Cernadoi,64,32020
BELLUNO,LIVINALLONGO DEL COL DI LANA,AFFITTACAMERE,,CHALET ZIRM,Via Varda - Arabba,14,32020
